Country,Occupation,Value
Vietnam,Politician,6
New Zealand,Politician,2
Latvia,Politician,8
Uruguay,Politician,5
Chile,Politician,10
South Africa,Politician,9
Saudi Arabia,Politician,17
Portugal,Politician,36
China,Politician,38
Canada,Politician,10
South Africa,Religious Figure,1
Saudi Arabia,Religious Figure,11
Portugal,Religious Figure,2
China,Religious Figure,2
Portugal,Nobleman,2
China,Military Person,4
Latvia,Philosopher,1
Saudi Arabia,Philosopher,1
China,Philosopher,10
Canada,Philosopher,1
New Zealand,Writer,1
Latvia,Writer,2
Uruguay,Writer,3
Chile,Writer,5
South Africa,Writer,4
Portugal,Writer,4
China,Writer,12
Canada,Writer,7
China,Historian,1
Vietnam,Journalist,1
South Africa,Journalist,1
Latvia,Soccer Player,1
Uruguay,Soccer Player,10
Chile,Soccer Player,5
South Africa,Soccer Player,4
Portugal,Soccer Player,26
Canada,Soccer Player,1
Uruguay,Referee,1
Chile,Coach,1
Portugal,Coach,2
Chile,Tennis Player,3
China,Tennis Player,1
Canada,Tennis Player,1
South Africa,Basketball Player,1
China,Basketball Player,1
Canada,Hocker Player,1
New Zealand,Racecar Driver,2
South Africa,Racecar Driver,1
Canada,Racecar Driver,2
China,Martial Arts,1
New Zealand,Mountaineer,1
Canada,Wrestler,4
South Africa,Athlete,1
Canada,Athlete,1
Latvia,Chess Master,1
Chile,Biologist,1
South Africa,Biologist,2
Canada,Biologist,1
New Zealand,Chemist,2
Latvia,Chemist,1
China,Chemist,1
Canada,Chemist,4
New Zealand,Physicist,1
South Africa,Physicist,1
China,Physicist,4
Canada,Physicist,3
Saudi Arabia,Astronomer,1
South Africa,Physician,1
Saudi Arabia,Physician,1
Portugal,Physician,2
Canada,Physician,3
Canada,Phychologist,2
Canada,Economist,4
China,Political Scientist,1
China,Engineer,1
China,Mathematician,1
Canada,Computer Scientist,1
China,Inventor,2
Canada,Inventor,1
New Zealand,Actor,3
South Africa,Actor,2
China,Actor,5
Canada,Actor,37
China,Musician,1
Canada,Musician,8
New Zealand,Singer,1
Chile,Singer,1
South Africa,Singer,1
Portugal,Singer,2
Canada,Singer,15
Canada,Composer,2
Latvia,Sculptor,1
Latvia,Artist,1
China,Artist,1
Portugal,Architect,1
China,Architect,1
Canada,Architect,1
Canada,Comic Artist,1
New Zealand,Film Director,1
Latvia,Film Director,1
China,Film Director,3
Canada,Film Director,2
Latvia,Dancer,1
South Africa,Social Activist,3
China,Social Activist,4
Vietnam,Model,2
South Africa,Model,1
Canada,Model,1
Canada,Magician,1
Vietnam,Presenter,2
Canada,Pornographic Actor,2
South Africa,Businessperson,1
China,Businessperson,1
Portugal,Explorer,6
China,Explorer,2
China,Astronaut,1
Saudi Arabia,Companion,3
Portugal,Companion,1
Saudi Arabia,Extremist,1
