Country,Politician,Religious Figure,Nobleman,Military Person,Philosopher,Writer,Historian,Journalist,Soccer Player,Referee,Coach,Tennis Player,Basketball Player,Hocker Player,Racecar Driver,Martial Arts,Mountaineer,Wrestler,Athlete,Chess Master,Biologist,Chemist,Physicist,Astronomer,Physician,Phychologist,Economist,Political Scientist,Engineer,Mathematician,Computer Scientist,Inventor,Actor,Musician,Singer,Composer,Sculptor,Artist,Architect,Comic Artist,Film Director,Dancer,Social Activist,Model,Magician,Presenter,Pornographic Actor,Businessperson,Explorer,Astronaut,Companion,Extremist
Vietnam,6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,
New Zealand,2,,,,,1,,,,,,,,,2,,1,,,,,2,1,,,,,,,,,,3,,1,,,,,,1,,,,,,,,,,,
Latvia,8,,,,1,2,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,
Uruguay,5,,,,,3,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,10,,,,,5,,,5,,1,3,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
South Africa,9,1,,,,4,,1,4,,,,1,,1,,,,1,,2,,1,,1,,,,,,,,2,,1,,,,,,,,3,1,,,,1,,,,
Saudi Arabia,17,11,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,1
Portugal,36,2,2,,,4,,,26,,2,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,1,,,,,,,,,,6,,1,
China,38,2,,4,10,12,1,,,,,1,1,,,1,,,,,,1,4,,,,,1,1,1,,2,5,1,,,,1,1,,3,,4,,,,,1,2,1,,
Canada,10,,,,1,7,,,1,,,1,,1,2,,,4,1,,1,4,3,,3,2,4,,,,1,1,37,8,15,2,,,1,1,2,,,1,1,,2,,,,,
